tag,phase,water,distance_m,turb,lam_nm,n_qubit,n_click,n_sift,n_err,p_click_meas,p_click_sim,p_click_ratio,z_click,qber_meas_pct,qber_lo_pct,qber_hi_pct,qber_sim_pct,qber_in_CI,skr_meas_pp,skr_sim_pp,cv_h_meas,cv_h_sim,sigma2_h_meas,sigma2_h_sim,irrad_sat,n_blocks,var_click,seconds,secure_meas
fixed_C_lam_clear_650,fixed,clear_ocean,5.0,3,650,238272,741,400,14,0.0031098912167606767,0.0034005690020358914,0.9145208389827737,-1.2920040643389192,3.5000000000000004,1.9264466585879916,5.802726168241625,2.7088557981626904,True,0.0006584804611330392,0.0010896304728694828,0.11856905654657765,0.10689765577016792,0.014058621170345528,0.011427108809157316,0.0,3.6357421875,2873.7034266819446,66.49027949999436,True
fixed_C_lam_harbor_450,fixed,harbor,0.5,3,450,142304,816,400,19,0.0057342028333708115,0.005123440206782459,1.1192094768237597,2.588916106981225,4.75,2.883693038042328,7.318536540137065,3.9494256832988817,True,0.0007764423825747343,0.001332255579203905,0.1796040809665417,0.040319177363533104,0.03225762589983607,0.0016256360632720401,0.0,2.17138671875,1127.0499622581372,41.38259809999727,True
fixed_C_lam_harbor_532,fixed,harbor,0.5,3,532,105472,818,400,14,0.00775561286407767,0.007084428674442922,1.0947407646372451,1.958722702156925,3.5000000000000004,1.9264466585879916,5.802726168241625,3.4786882172201326,True,0.001487574488348486,0.001998822214326295,0.16065286697250303,0.04014131999237698,0.025809343666484755,0.0016113255707304042,0.0,1.609375,1306.2066313400649,31.815513900015503,True
fixed_C_lam_harbor_650,fixed,harbor,0.5,3,650,120160,803,401,11,0.0066827563249001335,0.0077715219587688456,0.8599031644451285,-3.179155941626776,2.7431421446384037,1.3771504221985011,4.855149962601148,3.3179436902449844,True,0.0015701453920923738,0.002253009730662464,0.02279131909605956,0.03996364312253503,0.0005194442261384092,0.0015970927716253414,0.0,1.83349609375,1693.421172917943,35.96905179999885,True
adaptive_A_dist_d0_L3,adaptive,clear_ocean,5.0,3,450,883488,10063,5000,79,0.011390081132963888,0.010390705048429205,1.0961798145435533,2.753993434758706,1.58,1.252844078075413,1.965310203262797,1.6426354950882422,True,0.004121102517914675,0.003939372153857476,0.16748491106002197,0.12236749907614805,0.02805119543278347,0.014973804830151094,0.0,13.48095703125,102785.86941110757,285.3685393999913,True
adaptive_A_dist_d1_L3,adaptive,clear_ocean,10.0,3,450,1586432,10048,5000,122,0.0063337098596094885,0.006040680527801046,1.0485093244808814,0.8861700910438631,2.44,2.030292088394118,2.906437611546473,2.1825403123282365,True,0.0019805159183346565,0.002104751203457826,0.21602954956423795,0.26459534660235867,0.04666876628492754,0.07001069744362232,0.0,24.20703125,275188.9151557978,471.8277999999991,True
adaptive_A_dist_d2_L3,adaptive,clear_ocean,15.0,3,450,2127168,10036,5000,110,0.004718010049041731,0.0035108369467927725,1.343841972881064,4.747155505849145,2.1999999999999997,1.8115177798283306,2.6455844906704784,2.680262388306994,False,0.0015396628660660913,0.0011301576019231577,0.39929916487084177,0.4073541014674212,0.1594398230665517,0.16593736398233006,0.21960940613790356,32.4580078125,292600.9726647242,623.1709251000138,True
adaptive_A_dist_d3_L3,adaptive,clear_ocean,20.0,3,450,3333792,8046,4000,115,0.0024134679068160223,0.002041696640462165,1.1820893755644823,2.3418610027165934,2.875,2.37931262610593,3.441012105862055,3.167642968937101,True,0.0006921145229637043,0.0006069338806566654,0.463114367004369,0.547785733217691,0.21447491692585735,0.30006920951684335,0.24397216007954264,50.86962890625,280095.68112130376,932.2769967999775,True
adaptive_A_dist_d4_L3,adaptive,clear_ocean,25.0,3,450,3922304,5956,3001,101,0.001518495251770388,0.001189251674930225,1.2768493698858823,3.0816256268599447,3.365544818393869,2.7494785681002987,4.0745538072619745,3.689666106451924,True,0.0003972585439475843,0.00032362164403930676,0.39642933154059223,0.6857226784985149,0.1571562149057208,0.47021559180717754,0.18770987239758227,59.849609375,175613.28620590502,1063.6137923999922,True
adaptive_A_dist_d5_L3,adaptive,clear_ocean,30.0,3,450,4028064,3937,2000,88,0.0009773926134242156,0.0006353764639221993,1.538288981292665,5.048309432302697,4.3999999999999995,3.543624464675896,5.393046169765881,4.395563493639661,True,0.0002024640847079818,0.0001523991451507019,0.3849439353237173,0.8214552955052011,0.14818183334251023,0.6747888025135373,0.46558293116586236,61.46337890625,74472.17150390205,1082.2920565999812,True
adaptive_A_dist_d6_L3,adaptive,clear_ocean,35.0,3,450,6578688,2412,1200,57,0.0003666384543544245,0.00027805438382544345,1.3185854123580092,3.2433051953082135,4.75,3.6171461207449447,6.110669526122855,5.835669154691107,True,6.458656919604634e-05,4.980322136504231e-05,0.43586644180384726,0.9558781317282251,0.18997955509074657,0.913703002716242,0.376865671641791,100.3828125,32285.997593745553,1748.8224912000005,True
adaptive_A_dist_d7_L3,adaptive,clear_ocean,40.0,3,450,6255808,1172,600,48,0.00018734590319907516,0.00013061992737861683,1.4342827083040062,3.710901700473081,8.0,5.957246901486142,10.46706946656102,8.454949624129844,True,5.5612639022813565e-06,1.0709504699044388e-05,0.3990748414037559,1.0911118621971128,0.1592607290414329,1.190525095827251,0.5563139931740614,95.4560546875,9144.750746449365,1657.8416355999943,True
adaptive_A_dist_d9_L3,adaptive,clear_ocean,50.0,3,450,6588800,297,150,24,4.5076493443419134e-05,3.828578902742574e-05,1.1773687989329127,1.1609207383971356,16.0,10.528667783956386,22.864918353310774,19.731616583077386,True,0.0,0.0,0.4719295938502996,1.3957966536287043,0.22271754155170873,1.9482482982810891,0.2962962962962963,100.537109375,1485.378608324302,1741.7580810000072,False
adaptive_D_coastal_d0_L3,adaptive,coastal,2.0,3,450,1012128,10065,5000,137,0.009944394384899934,0.008527972063457012,1.1660913416347123,10.696684342798516,2.74,2.305278011538347,3.231003361391984,2.601714579393616,True,0.0029452614664526983,0.0027800614532604642,0.17251724393012413,0.04397993403987407,0.02976219945324595,0.001934234598151674,0.0,15.44384765625,17962.138610261012,314.6405039000092,True
adaptive_D_coastal_d1_L3,adaptive,coastal,4.0,3,450,1887168,9888,5000,152,0.005239597110591108,0.004067421797796844,1.2881863182788624,13.676137071801515,3.04,2.5817047154862163,3.5541431410029007,3.622680478399798,False,0.001497191873522737,0.0011196948226524109,0.11173584829231377,0.095052613698251,0.012484899793602958,0.009034999370868935,0.0,28.7958984375,26162.508265927907,551.0278199000168,True
adaptive_A_dist_d8_L3,adaptive,clear_ocean,45.0,3,450,16414368,1626,810,77,9.905955562833731e-05,6.686262273658539e-05,1.4815385872402318,5.764448486517187,9.506172839506172,7.574946361202044,11.737765275796312,12.966744937155411,False,0.0,0.0,0.43891586845870634,1.2327147231069013,0.1926471395848604,1.5195855885645244,0.42558425584255843,250.46337890625,8405.46630225527,4343.89358459998,False
fixed_A_dist_d8_L3,fixed,clear_ocean,45.0,3,450,24620064,1615,810,110,6.559690502835411e-05,6.686262273658539e-05,0.9810698764656938,-0.2775317167880535,13.580246913580247,11.295269162223565,16.133911639325067,12.966744937155411,True,0.0,0.0,0.5053174181395054,1.2327147231069013,0.2553456930751757,1.5195855885645244,0.3256965944272446,375.67236328125,12607.43747863872,6511.108266199997,False
adaptive_B_turb_L1,adaptive,clear_ocean,25.0,1,450,10485760,14274,7153,268,0.0013612747192382813,0.001189251674930225,1.144648141292842,8.63608453305847,3.746679714804977,3.3185491342887308,4.213015191320755,3.689666106451924,True,0.0003430594973898232,0.00032362164403930676,0.1323773784944264,0.1790405693219769,0.017523770337056627,0.03205552546313761,0.0,160.0,43625.389293394815,3548.296727899986,True
adaptive_B_turb_L2,adaptive,clear_ocean,25.0,2,450,10485760,14825,7455,290,0.0014138221740722656,0.001189251674930225,1.1888334520573338,6.396877570857281,3.8900067069081152,3.462496088715846,4.354033149185343,3.689666106451924,True,0.0003484763088815188,0.00032362164403930676,0.25173334412464565,0.3558015995944232,0.06336967654417727,0.12659477827395027,0.009443507588532884,160.0,135509.31731723694,3563.6418277000193,True
