water,water_name,distance_m,turb,turb_name,lam_nm,sigma2_s,sigma2_ho,sigma2_h,cv_h,L_dB,nbar,e_pol_pct,p_click,sift_eff,qber_pct,skr_bps,qber_win_std_pct,qber_win_p90_pct,outage,skr_outage_bps,secure_mean,secure_outage
clear_ocean,Clear ocean,35.0,4,STRONG,450,0.002566339317391107,2.951336895623033,2.961477366854529,1.7208943508694916,-18.318743047369693,0.00026509296361225203,3.669513904072409,0.00027805438382544345,0.00013902719191272173,5.835669154691107,498.03221365042305,26.475072931944478,50.0,0.39275,818.2307938824443,True,False
clear_ocean,Clear ocean,40.0,4,STRONG,450,0.007122125141854652,3.796565499765388,3.830727239505819,1.9572243712732118,-21.847604098895424,0.00011762837440353638,3.8631123910431304,0.00013061992737861683,6.530996368930841e-05,8.454949624129844,107.09504699044388,29.418328535188266,50.0,0.514,401.1087486374911,True,False
clear_ocean,Clear ocean,45.0,4,STRONG,450,0.019765377942229382,4.732448782394596,4.8457527991130975,2.201307066066226,-25.239676659815053,5.3864773640578125e-05,4.028540441455307,6.686262273658539e-05,3.343131136829269e-05,12.966744937155411,0.0,29.821771688584786,50.0,0.6195,200.88309849519598,False,False
clear_ocean,Clear ocean,50.0,4,STRONG,450,0.054853032966707224,5.0,5.329118197800243,2.3084882927578914,-28.523848583000557,2.52864374461462e-05,4.169897123996493,3.828578902742574e-05,1.914289451371287e-05,19.731616583077386,0.0,30.10337250232546,66.66666666666666,0.69675,113.0542788948297,False,False
clear_ocean,Clear ocean,55.0,4,STRONG,450,0.1522285703031335,5.0,5.9133714218188,2.431742466179098,-31.720724398137058,1.2111559450616787e-05,4.290685053548121,2.5111328656790555e-05,1.2555664328395277e-05,27.954178849136905,0.0,28.600500056228263,100.0,0.766,69.74037954260149,False,False
clear_ocean,Clear ocean,60.0,4,STRONG,450,0.4224659305639694,5.0,7.534795583383815,2.744958211591538,-34.845517727897054,5.898216806759988e-06,4.393897180934588,1.889812273581093e-05,9.449061367905465e-06,35.76630817883178,0.0,27.325440650991034,100.0,0.8105,49.199999995935514,False,False
clear_ocean,Clear ocean,65.0,4,STRONG,450,1.172430787019004,5.0,12.034584722114024,3.469089898246228,-37.90978196505329,2.9126902939607356e-06,4.4820909539314755,1.5912648187232925e-05,7.956324093616463e-06,41.66842099468134,0.0,26.19343523300362,100.0,0.84525,36.949999996947504,False,False
clear_ocean,Clear ocean,70.0,4,STRONG,450,3.2537391796659016,5.0,24.522435077995407,4.952013234836454,-40.92249774445332,1.4555352602474559e-06,4.55745168713584,1.4455515279010456e-05,7.227757639505228e-06,45.424428955031296,0.0,25.66239516787774,100.0,0.85375,32.699999997298605,False,False
clear_ocean,Clear ocean,75.0,4,STRONG,450,9.029802668531707,5.0,59.178816011190236,7.692776872572754,-43.89078432397418,7.348421729248967e-07,4.621846710912631,1.3734832350009718e-05,6.867416175004859e-06,47.57220983708754,0.0,25.195959773124123,100.0,0.868,29.349999997575352,False,False
clear_ocean,Clear ocean,80.0,4,STRONG,450,25.05957968056761,5.0,155.35747808340565,12.464247995102058,-46.82038090795105,3.74312572294965e-07,4.6768716411500835,1.3374307636149219e-05,6.687153818074609e-06,48.73154029782707,0.0,25.093408050804232,100.0,0.8705,28.849999997616656,False,False
clear_ocean,Clear ocean,5.0,5,SEVERE,450,0.0001,0.20953305292116292,0.20965400622645514,0.457879903715434,-2.3690221119720003,0.01043206522849413,1.5820383619589724,0.010390705048429205,0.005195352524214603,1.6426354950882422,39393.721538574755,0.8802949516192017,2.73972602739726,0.0,39983.004681937404,True,True
